X,Y,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
77.3288,113.171000026168,Layer 1,,,,,
77.0466,113.3125,Layer 1,,,,,
76.9055,113.454000026168,Layer 1,,,,,
76.7644,113.595,Layer 1,,,,,
76.6233,113.736000026168,Layer 1,,,,,
76.4822,113.877,Layer 1,,,,,
76.34105,114.018000026168,Layer 1,,,,,
76.1999,114.159,Layer 1,,,,,
75.9177,114.300000026168,Layer 1,,,,,
75.6355,114.441,Layer 1,,,,,
75.4944,114.582000026168,Layer 1,,,,,
75.3533,114.7235,Layer 1,,,,,
75.2122,114.865000026168,Layer 1,,,,,
75.0711,115.006,Layer 1,,,,,
74.92995,115.147000026168,Layer 1,,,,,
74.7888,115.288,Layer 1,,,,,
74.5066,115.429000026168,Layer 1,,,,,
74.2244,115.57,Layer 1,,,,,
74.0833,115.711000026168,Layer 1,,,,,
73.9422,115.8525,Layer 1,,,,,
73.80105,115.994000026168,Layer 1,,,,,
73.6599,116.135,Layer 1,,,,,
73.5188,116.276000026168,Layer 1,,,,,
73.5188,116.276000026168,Layer 1,,,,,
73.6599,116.699,Layer 1,,,,,
73.80105,117.122000026168,Layer 1,,,,,
73.9422,117.5455,Layer 1,,,,,
74.0833,117.969000026168,Layer 1,,,,,
